timestamp,filename,signal,confidence,duration
2025-11-14 01:59:41.431738,Screenshot_20251113-112559.png,DOWN,81.42,2
2025-11-18T21:35:55.696336,Screenshot_20251117-230024.png,NEUTRAL,50.0,369,322
2025-11-18T21:35:56.021924,Screenshot_20251118-175019.png,NEUTRAL,50.0,520,449
2025-11-18T21:43:38.113383,Screenshot_20251117-230024.png,NEUTRAL,50.0,369,322
2025-11-18T21:43:38.506896,Screenshot_20251118-175019.png,NEUTRAL,50.0,520,449
2025-11-18T21:47:24.028909,Screenshot_20251117-230024.png,NEUTRAL,50.0,369,322
2025-11-18T21:47:24.350153,Screenshot_20251118-175019.png,NEUTRAL,50.0,520,449
2025-11-18T21:49:11.924941,Screenshot_20251118-214821.png,NEUTRAL,50.0,392,346
2025-11-18T21:49:27.247549,Screenshot_20251117-230024.png,NEUTRAL,50.0,369,322
2025-11-18T21:49:27.586288,Screenshot_20251118-175019.png,NEUTRAL,50.0,520,449
2025-11-18T21:49:27.922697,Screenshot_20251118-214821.png,NEUTRAL,50.0,392,346
2025-11-19T04:44:16.016916,Screenshot_20251117-230024.png,NEUTRAL,50.0,369,322
2025-11-19T04:44:16.381792,Screenshot_20251118-175019.png,NEUTRAL,50.0,520,449
2025-11-19T04:44:16.737493,Screenshot_20251118-214821.png,NEUTRAL,50.0,392,346
2025-11-21T21:31:37.281776,Screenshot_20251117-230024.png,NEUTRAL,50.0,369,322
2025-11-21T21:31:37.598673,Screenshot_20251118-175019.png,NEUTRAL,50.0,520,449
2025-11-21T21:31:37.922478,Screenshot_20251118-214821.png,NEUTRAL,50.0,392,346
2025-11-21T21:31:38.282310,Screenshot_20251121-212337.png,NEUTRAL,50.0,482,343
2025-11-22T04:35:36.895392,Screenshot_20251117-230024.png,NEUTRAL,50.0,369,322
2025-11-22T04:35:37.218972,Screenshot_20251118-175019.png,NEUTRAL,50.0,520,449
2025-11-22T04:35:37.558358,Screenshot_20251118-214821.png,NEUTRAL,50.0,392,346
2025-11-22T04:35:37.900101,Screenshot_20251121-212337.png,NEUTRAL,50.0,482,343
